domain	fold	split	sequence_id	raw_length	cleaned_length	stops_removed	stops_replaced	invalid_removed	invalid_replaced
fullCP	Blue	train	Cruci_CruV_175	517	516	1	0	0	0
fullCP	Blue	train	Cruci_CruV_244	516	515	1	0	0	0
fullCP	Blue	train	Cruci_Schm_JAMFLK010001745_circular	516	515	1	0	0	0
fullCP	Blue	train	Cruci_Ariz_MW697554	515	514	1	0	0	0
fullCP	Blue	train	Cruci_CruV_247	513	512	1	0	0	0
fullCP	Blue	train	Cruci_Ariz_MW697687	512	511	1	0	0	0
fullCP	Blue	train	Cruci_CruCGE_533	511	510	1	0	0	0
fullCP	Blue	train	Cruci_CruV_266	511	510	1	0	0	0
fullCP	Blue	train	Cruci_CruV_390	510	509	1	0	0	0
fullCP	Blue	train	Cruci_CruV_373	509	508	1	0	0	0
fullCP	Blue	train	Cruci_CruV_474	509	508	1	0	0	0
fullCP	Blue	train	Cruci_muss_OR270609	509	508	1	0	0	0
fullCP	Blue	train	Cruci_Tisza_MK012518.1	509	508	1	0	0	0
fullCP	Blue	train	Cruci_CruV_213	508	507	1	0	0	0
fullCP	Blue	train	Cruci_Tisza_MH617557.1	508	507	1	0	0	0
fullCP	Blue	train	Cruci_CruV_243	506	505	1	0	0	0
fullCP	Blue	train	Cruci_CruV_245	506	505	1	0	0	0
fullCP	Blue	train	Cruci_CruV_264	506	505	1	0	0	0
fullCP	Blue	train	Cruci_CruV_276	506	505	1	0	0	0
fullCP	Blue	train	Cruci_CruV_278	506	505	1	0	0	0
fullCP	Blue	train	Cruci_CruV_361	506	505	1	0	0	0
fullCP	Blue	train	Cruci_CruV_424	505	504	1	0	0	0
fullCP	Blue	train	Cruci_CruV_480	505	504	1	0	0	0
fullCP	Blue	train	Cruci_CruV_192	503	502	1	0	0	0
fullCP	Blue	train	Cruci_CruV_92	501	500	1	0	0	0
fullCP	Blue	train	Cruci_CruV_384	499	498	1	0	0	0
fullCP	Blue	train	Cruci_CruV_432	499	498	1	0	0	0
fullCP	Blue	train	Cruci_CruV_482	499	498	1	0	0	0
fullCP	Blue	train	Cruci_CruV_494	499	498	1	0	0	0
fullCP	Blue	train	Cruci_IWaV278_CircoRep	499	498	1	0	0	0
fullCP	Blue	train	Cruci_CruV_525	498	497	1	0	0	0
fullCP	Blue	train	Cruci_CruV_386	494	493	1	0	0	0
fullCP	Blue	train	Cruci_CruV_258	493	492	1	0	0	0
fullCP	Blue	train	Cruci_CruV_338	493	492	1	0	0	0
fullCP	Blue	train	Cruci_CruV_481	493	492	1	0	0	0
fullCP	Blue	train	Cruci_CruV_512	493	492	1	0	0	0
fullCP	Blue	train	Cruci_CruV_275	492	491	1	0	0	0
fullCP	Blue	train	Cruci_CruV_340	492	491	1	0	0	0
fullCP	Blue	train	Cruci_CruV_535	492	491	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388494	492	491	1	0	0	0
fullCP	Blue	train	Cruci_CruV_346	491	490	1	0	0	0
fullCP	Blue	train	Cruci_Ariz_MW697694	490	489	1	0	0	0
fullCP	Blue	train	Cruci_CruV_440	490	489	1	0	0	0
fullCP	Blue	train	Cruci_CruV_496	490	489	1	0	0	0
fullCP	Blue	train	Cruci_CruV_530	490	489	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388521	490	489	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388522	490	489	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388524	490	489	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388525	490	489	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388526	490	489	1	0	0	0
fullCP	Blue	train	Cruci_CruV_429	488	487	1	0	0	0
fullCP	Blue	train	Cruci_CruV_521	488	487	1	0	0	0
fullCP	Blue	train	Cruci_CruV_95	486	485	1	0	0	0
fullCP	Blue	train	Cruci_CruV-607	486	484	2	0	0	0
fullCP	Blue	train	Cruci_CruV_246	484	483	1	0	0	0
fullCP	Blue	train	Cruci_CruV_293	484	483	1	0	0	0
fullCP	Blue	train	Cruci_CruV_439	484	483	1	0	0	0
fullCP	Blue	train	Cruci_CruV_446	484	483	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388517	484	483	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388518	484	483	1	0	0	0
fullCP	Blue	train	Cruci_CruV-966	482	481	1	0	0	0
fullCP	Blue	train	Cruci_CruV_537	482	481	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388523	482	481	1	0	0	0
fullCP	Blue	train	Cruci_CruV_107	479	478	1	0	0	0
fullCP	Blue	train	Cruci_CruV_468	479	478	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388508	479	478	1	0	0	0
fullCP	Blue	train	Cruci_Tisza_MH617070.1	479	478	1	0	0	0
fullCP	Blue	train	Cruci_CruV_101	478	477	1	0	0	0
fullCP	Blue	train	Cruci_CruV_207	478	477	1	0	0	0
fullCP	Blue	train	Cruci_CruV_195	477	476	1	0	0	0
fullCP	Blue	train	Cruci_CruV_489	477	476	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388514	477	476	1	0	0	0
fullCP	Blue	train	Cruci_CruV_375	476	475	1	0	0	0
fullCP	Blue	train	Cruci_CruV_479	475	474	1	0	0	0
fullCP	Blue	train	Cruci_CruV_131	474	473	1	0	0	0
fullCP	Blue	train	Cruci_CruV_146	473	472	1	0	0	0
fullCP	Blue	train	Cruci_CruV_147	473	472	1	0	0	0
fullCP	Blue	train	Cruci_CruV_148	473	472	1	0	0	0
fullCP	Blue	train	Cruci_CruV_152	473	472	1	0	0	0
fullCP	Blue	train	Cruci_CruV_443	473	472	1	0	0	0
fullCP	Blue	train	Cruci_CruV_534	473	472	1	0	0	0
fullCP	Blue	train	Cruci_CruV_93	472	471	1	0	0	0
fullCP	Blue	train	Cruci_CruV_103	472	471	1	0	0	0
fullCP	Blue	train	Cruci_CruV_143	472	471	1	0	0	0
fullCP	Blue	train	Cruci_CruV_201	472	471	1	0	0	0
fullCP	Blue	train	Cruci_CruV_229	472	471	1	0	0	0
fullCP	Blue	train	Cruci_CruV_249	471	470	1	0	0	0
fullCP	Blue	train	Cruci_CruV_441	471	470	1	0	0	0
fullCP	Blue	train	Cruci_CruV_142	470	469	1	0	0	0
fullCP	Blue	train	Cruci_CruV_228	470	469	1	0	0	0
fullCP	Blue	train	Cruci_Tisza_MH617326.1	470	469	1	0	0	0
fullCP	Blue	train	Cruci_CruV_173	469	468	1	0	0	0
fullCP	Blue	train	Cruci_CruV_127	468	467	1	0	0	0
fullCP	Blue	train	Cruci_CruV_257	468	467	1	0	0	0
fullCP	Blue	train	Cruci_CruV_261	468	467	1	0	0	0
fullCP	Blue	train	Cruci_CruV_316	468	467	1	0	0	0
fullCP	Blue	train	Cruci_CruV_329	468	467	1	0	0	0
fullCP	Blue	train	Cruci_CruV_371	468	467	1	0	0	0
fullCP	Blue	train	Cruci_CruV_372	468	467	1	0	0	0
fullCP	Blue	train	Cruci_CruV_458	468	467	1	0	0	0
fullCP	Blue	train	Cruci_CruV_104	467	466	1	0	0	0
fullCP	Blue	train	Cruci_CruV_105	467	466	1	0	0	0
fullCP	Blue	train	Cruci_CruV_294	467	466	1	0	0	0
fullCP	Blue	train	Cruci_CruV_120	466	465	1	0	0	0
fullCP	Blue	train	Cruci_CruV_290	466	465	1	0	0	0
fullCP	Blue	train	Cruci_CruV_447	466	465	1	0	0	0
fullCP	Blue	train	Cruci_chiv_Astrammina_rara_contig97_330847425	465	464	1	0	0	0
fullCP	Blue	train	Cruci_CruCGE_110	465	464	1	0	0	0
fullCP	Blue	train	Cruci_CruV_209	465	464	1	0	0	0
fullCP	Blue	train	Cruci_CruV_263	465	464	1	0	0	0
fullCP	Blue	train	Cruci_CruV_270	465	464	1	0	0	0
fullCP	Blue	train	Cruci_Oys_GWHBFST00001471_circ	465	464	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388507	465	464	1	0	0	0
fullCP	Blue	train	Cruci_chiv_Airborne_RD1_contig10	464	463	1	0	0	0
fullCP	Blue	train	Cruci_CruV_111	464	463	1	0	0	0
fullCP	Blue	train	Cruci_CruV_241	464	463	1	0	0	0
fullCP	Blue	train	Cruci_CruV_269	464	463	1	0	0	0
fullCP	Blue	train	Cruci_CruV_312	464	463	1	0	0	0
fullCP	Blue	train	Cruci_CruV_419	464	463	1	0	0	0
fullCP	Blue	train	Cruci_chiv_RW_Nursery_DNA_contig62	463	462	1	0	0	0
fullCP	Blue	train	Cruci_CruV_140	463	462	1	0	0	0
fullCP	Blue	train	Cruci_CruV_341	463	462	1	0	0	0
fullCP	Blue	train	Cruci_CruV_387	463	462	1	0	0	0
fullCP	Blue	train	Cruci_CruV_431	463	462	1	0	0	0
fullCP	Blue	train	Cruci_CruV_517	463	462	1	0	0	0
fullCP	Blue	train	Cruci_CruV_518	463	462	1	0	0	0
fullCP	Blue	train	Cruci_CruV_129	462	461	1	0	0	0
fullCP	Blue	train	Cruci_CruV_178	462	461	1	0	0	0
fullCP	Blue	train	Cruci_CruV_279	462	461	1	0	0	0
fullCP	Blue	train	Cruci_CruV_411	462	461	1	0	0	0
fullCP	Blue	train	Cruci_CruV_89	461	460	1	0	0	0
fullCP	Blue	train	Cruci_CruV_151	461	460	1	0	0	0
fullCP	Blue	train	Cruci_CruV_308	461	460	1	0	0	0
fullCP	Blue	train	Cruci_CruV_370	461	460	1	0	0	0
fullCP	Blue	train	Cruci_CruV_461	461	460	1	0	0	0
fullCP	Blue	train	Cruci_CruV_83	460	459	1	0	0	0
fullCP	Blue	train	Cruci_CruV_84	460	459	1	0	0	0
fullCP	Blue	train	Cruci_CruV_123	460	459	1	0	0	0
fullCP	Blue	train	Cruci_CruV_218	460	459	1	0	0	0
fullCP	Blue	train	Cruci_CruV_226	460	459	1	0	0	0
fullCP	Blue	train	Cruci_CruV_428	460	459	1	0	0	0
fullCP	Blue	train	Cruci_CruV_510	460	459	1	0	0	0
fullCP	Blue	train	Cruci_CruV_515	460	459	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388519	460	459	1	0	0	0
fullCP	Blue	train	Cruci_Tisza_MH617001.1	460	459	1	0	0	0
fullCP	Blue	train	Cruci_chiv_Lake_Bourget_contig37546	459	458	1	0	0	0
fullCP	Blue	train	Cruci_CruV_379	459	458	1	0	0	0
fullCP	Blue	train	Cruci_CruV_404	459	458	1	0	0	0
fullCP	Blue	train	Cruci_CruV_477	459	458	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388505	459	458	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388520	459	458	1	0	0	0
fullCP	Blue	train	Cruci_CruV_115	458	457	1	0	0	0
fullCP	Blue	train	Cruci_CruV_126	458	457	1	0	0	0
fullCP	Blue	train	Cruci_CruV_339	458	457	1	0	0	0
fullCP	Blue	train	Cruci_CruV_360	458	457	1	0	0	0
fullCP	Blue	train	Cruci_CruV_394	458	457	1	0	0	0
fullCP	Blue	train	Cruci_CruCGE-610	457	456	1	0	0	0
fullCP	Blue	train	Cruci_CruV_97	457	456	1	0	0	0
fullCP	Blue	train	Cruci_CruV_108	457	456	1	0	0	0
fullCP	Blue	train	Cruci_CruV_124	457	456	1	0	0	0
fullCP	Blue	train	Cruci_CruV_255	457	456	1	0	0	0
fullCP	Blue	train	Cruci_CruV_389	457	456	1	0	0	0
fullCP	Blue	train	Cruci_CruV_90	456	455	1	0	0	0
fullCP	Blue	train	Cruci_CruV_91	456	455	1	0	0	0
fullCP	Blue	train	Cruci_CruV_106	456	455	1	0	0	0
fullCP	Blue	train	Cruci_CruV_362	456	455	1	0	0	0
fullCP	Blue	train	Cruci_CruV_409	456	455	1	0	0	0
fullCP	Blue	train	Cruci_CruV_410	456	455	1	0	0	0
fullCP	Blue	train	Cruci_CruV_378	455	454	1	0	0	0
fullCP	Blue	train	Cruci_CruV_156	454	453	1	0	0	0
fullCP	Blue	train	Cruci_CruV_167	454	453	1	0	0	0
fullCP	Blue	train	Cruci_CruV_505	454	453	1	0	0	0
fullCP	Blue	train	Cruci_CruV_506	454	453	1	0	0	0
fullCP	Blue	train	Cruci_CruV_98	453	452	1	0	0	0
fullCP	Blue	train	Cruci_CruV_119	453	452	1	0	0	0
fullCP	Blue	train	Cruci_CruV_133	453	452	1	0	0	0
fullCP	Blue	train	Cruci_CruV_200	453	452	1	0	0	0
fullCP	Blue	train	Cruci_CruV_238	453	452	1	0	0	0
fullCP	Blue	train	Cruci_CruV_239	453	452	1	0	0	0
fullCP	Blue	train	Cruci_CruV_268	453	452	1	0	0	0
fullCP	Blue	train	Cruci_CruV_442	453	452	1	0	0	0
fullCP	Blue	train	Cruci_Schm_JAMFLK010002086_circular	453	452	1	0	0	0
fullCP	Blue	train	Cruci_CruV_94	452	451	1	0	0	0
fullCP	Blue	train	Cruci_CruV_202	452	451	1	0	0	0
fullCP	Blue	train	Cruci_CruV_527	452	451	1	0	0	0
fullCP	Blue	train	Cruci_CruV_528	452	451	1	0	0	0
fullCP	Blue	train	Cruci_CruV_102	451	450	1	0	0	0
fullCP	Blue	train	Cruci_CruV_109	451	450	1	0	0	0
fullCP	Blue	train	Cruci_CruV_153	451	450	1	0	0	0
fullCP	Blue	train	Cruci_Tisza_MH617718.1	451	450	1	0	0	0
fullCP	Blue	train	Cruci_CruV_100	450	449	1	0	0	0
fullCP	Blue	train	Cruci_CruV_357	450	449	1	0	0	0
fullCP	Blue	train	Cruci_CruV_367	450	449	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388510	450	449	1	0	0	0
fullCP	Blue	train	Cruci_CruV_116	449	448	1	0	0	0
fullCP	Blue	train	Cruci_CruV_420	449	448	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388527	449	448	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388528	449	448	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388529	449	448	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388530	449	448	1	0	0	0
fullCP	Blue	train	Cruci_CruV_179	448	447	1	0	0	0
fullCP	Blue	train	Cruci_CruV_180	448	447	1	0	0	0
fullCP	Blue	train	Cruci_CruV_196	448	447	1	0	0	0
fullCP	Blue	train	Cruci_CruV_210	448	447	1	0	0	0
fullCP	Blue	train	Cruci_CruV_211	448	447	1	0	0	0
fullCP	Blue	train	Cruci_CruV_234	448	447	1	0	0	0
fullCP	Blue	train	Cruci_CruV_149	447	446	1	0	0	0
fullCP	Blue	train	Cruci_CruV_504	447	446	1	0	0	0
fullCP	Blue	train	Cruci_CruV_523	447	446	1	0	0	0
fullCP	Blue	train	Cruci_CruV_188	446	445	1	0	0	0
fullCP	Blue	train	Cruci_CruV_265	446	445	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388509	446	445	1	0	0	0
fullCP	Blue	train	Cruci_CruV_122	445	444	1	0	0	0
fullCP	Blue	train	Cruci_CruV_139	445	444	1	0	0	0
fullCP	Blue	train	Cruci_CruV_250	445	444	1	0	0	0
fullCP	Blue	train	Cruci_CruV_251	445	444	1	0	0	0
fullCP	Blue	train	Cruci_CruCGE_85	444	443	1	0	0	0
fullCP	Blue	train	Cruci_CruV_208	444	443	1	0	0	0
fullCP	Blue	train	Cruci_CruV_134	443	442	1	0	0	0
fullCP	Blue	train	Cruci_CruV_138	443	442	1	0	0	0
fullCP	Blue	train	Cruci_CruV_141	443	442	1	0	0	0
fullCP	Blue	train	Cruci_CruV_227	442	441	1	0	0	0
fullCP	Blue	train	Cruci_CruV_503	442	441	1	0	0	0
fullCP	Blue	train	Cruci_CruV-824	441	440	1	0	0	0
fullCP	Blue	train	Cruci_chiv_Airborne_IC2_contig9	440	439	1	0	0	0
fullCP	Blue	train	Cruci_CruV_224	438	437	1	0	0	0
fullCP	Blue	train	Cruci_CruV_507	438	437	1	0	0	0
fullCP	Blue	train	Cruci_muss_OR270671	438	437	1	0	0	0
fullCP	Blue	train	Cruci_CruV_132	437	436	1	0	0	0
fullCP	Blue	train	Cruci_Ariz_MW697623	436	435	1	0	0	0
fullCP	Blue	train	Cruci_CruV_81	436	435	1	0	0	0
fullCP	Blue	train	Cruci_CruV_86	436	435	1	0	0	0
fullCP	Blue	train	Cruci_CruV_112	435	434	1	0	0	0
fullCP	Blue	train	Cruci_CruV_438	435	434	1	0	0	0
fullCP	Blue	train	Cruci_CruV_529	435	434	1	0	0	0
fullCP	Blue	train	Cruci_CruV_401	434	433	1	0	0	0
fullCP	Blue	train	Cruci_CruV_492	433	432	1	0	0	0
fullCP	Blue	train	Cruci_CruV_130	432	431	1	0	0	0
fullCP	Blue	train	Cruci_CruV_164	432	431	1	0	0	0
fullCP	Blue	train	Cruci_CruV_162	431	430	1	0	0	0
fullCP	Blue	train	Cruci_CruV_328	431	430	1	0	0	0
fullCP	Blue	train	Cruci_CruV_490	431	430	1	0	0	0
fullCP	Blue	train	Cruci_CruV_514	430	429	1	0	0	0
fullCP	Blue	train	Cruci_CruV_260	429	428	1	0	0	0
fullCP	Blue	train	Cruci_CruV_467	429	428	1	0	0	0
fullCP	Blue	train	Cruci_CruV_487	429	428	1	0	0	0
fullCP	Blue	train	Cruci_CruV_168	428	427	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388506	426	425	1	0	0	0
fullCP	Blue	train	Cruci_CruV_198	425	424	1	0	0	0
fullCP	Blue	train	Cruci_Tisza_MH616915.1	425	424	1	0	0	0
fullCP	Blue	train	Cruci_CruV_271	420	419	1	0	0	0
fullCP	Blue	train	Cruci_CruV_374	420	419	1	0	0	0
fullCP	Blue	train	Cruci_CruV_444	418	417	1	0	0	0
fullCP	Blue	train	Cruci_CruV_497	418	417	1	0	0	0
fullCP	Blue	train	Cruci_CruV_380	415	414	1	0	0	0
fullCP	Blue	train	Cruci_Tisza_MK012445.1	411	410	1	0	0	0
fullCP	Blue	train	Cruci_CruV_522	410	409	1	0	0	0
fullCP	Blue	train	Cruci_CruV_319	409	408	1	0	0	0
fullCP	Blue	train	Cruci_CruV_320	409	408	1	0	0	0
fullCP	Blue	train	Cruci_CruV_445	408	407	1	0	0	0
fullCP	Blue	train	Cruci_CruV_449	408	407	1	0	0	0
fullCP	Blue	train	Cruci_CruV_538	408	407	1	0	0	0
fullCP	Blue	train	Cruci_CruV-847	408	407	1	0	0	0
fullCP	Blue	train	Cruci_CruV_531	404	403	1	0	0	0
fullCP	Blue	train	Cruci_CruV_166	401	400	1	0	0	0
fullCP	Blue	train	Cruci_CruV_536	396	395	1	0	0	0
fullCP	Blue	train	Cruci_CruV_493	395	394	1	0	0	0
fullCP	Blue	train	Cruci_CruV_483	393	392	1	0	0	0
fullCP	Blue	train	Cruci_CruV_513	390	389	1	0	0	0
fullCP	Blue	train	Cruci_CruV_501	384	383	1	0	0	0
fullCP	Blue	train	Cruci_CruV_509	384	383	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388513	379	378	1	0	0	0
fullCP	Blue	train	Cruci_CruV_170	378	377	1	0	0	0
fullCP	Blue	train	Cruci_PB_KX388515	376	375	1	0	0	0
fullCP	Blue	train	Cruci_CruV_498	372	371	1	0	0	0
fullCP	Blue	train	Cruci_CruV_381	371	370	1	0	0	0
fullCP	Blue	train	Cruci_CruV_420	362	361	1	0	0	0
fullCP	Blue	train	Cruci_CruV_144	356	355	1	0	0	0
